id,page,n,c1,c2,c3,c4
1,2,2,#DE4500,#29BDAD,,
2,2,2,#FF8C00,#0D2B52,,
3,2,2,#B85E00,#FFF59E,,
4,2,2,#C3A55C,#3400A3,,
5,2,2,#328E13,#003E83,,
6,2,2,#FF616B,#000831,,
7,2,2,#FF5200,#B3E8C2,,
8,2,2,#C2612C,#B8B8FF,,
9,2,2,#3D0079,#6E66D4,,
10,2,2,#C2612C,#7E8743,,
11,2,2,#EBD999,#9FC2B2,,
12,2,2,#C3A55C,#2DBC94,,
13,2,2,#B85E00,#7E3075,,
14,2,2,#FF4DC9,#FAED8F,,
15,2,2,#00D973,#B8B8FF,,
16,2,2,#740909,#ABF5ED,,
17,2,2,#E62E73,#33FF7D,,
18,2,2,#D1B0B3,#2D0060,,
19,2,2,#522000,#7AFF00,,
20,2,2,#80FFCC,#CC85D1,,
21,2,2,#FF616B,#33FF7D,,
22,2,2,#FFFF00,#0024CC,,
23,2,2,#FFBF6E,#9161F2,,
24,2,2,#503D00,#7E3075,,
25,2,2,#C9303E,#BFFFE6,,
26,2,2,#FA9442,#5E4017,,
27,2,2,#FFA6D9,#1B3644,,
28,2,2,#651300,#000831,,
29,2,2,#759243,#96BFE6,,
30,2,2,#A90636,#9FC2B2,,
31,2,2,#E81900,#FFF59E,,
32,2,2,#D99E73,#7AFF00,,
33,2,2,#B85E00,#1B3644,,
34,2,2,#FF5EC4,#B5D1CC,,
35,2,2,#B08699,#A10B2B,,
36,3,2,#BAA600,#B5FFC2,,
37,3,2,#A32100,#3400A3,,
38,3,2,#1B8E13,#0024CC,,
39,3,2,#D60036,#0057BA,,
40,3,2,#C74300,#A6D40D,,
41,3,2,#7E8743,#80FFCC,,
42,3,2,#E0B81F,#2619D1,,
43,3,2,#FFA6D9,#9C52F2,,
44,3,2,#23C17C,#4F8FE6,,
45,3,2,#FFCFC4,#F2FF26,,
46,3,2,#FF5200,#000000,,
47,3,2,#C9303E,#BFABCC,,
48,3,2,#B319AB,#0057BA,,
49,3,2,#ABF5ED,#0D75FF,,
50,3,2,#EBD999,#2D0060,,
51,3,2,#A10B2B,#0D75FF,,
52,3,2,#F5F5B8,#000000,,
53,3,2,#FF8C00,#2D0060,,
54,3,2,#00D973,#A6E6DB,,
55,3,3,#D94D99,#979797,#FFFFFF,
56,3,2,#BFABCC,#2619D1,,
57,3,2,#6B2E63,#1B3644,,
58,3,2,#681916,#33FF7D,,
59,3,2,#FF5EC4,#A3AD00,,
60,3,2,#FFF59E,#0D2B52,,
61,3,2,#BDF226,#340059,,
62,3,2,#FFFF00,#000000,,
63,3,2,#5C2C45,#29BDAD,,
64,3,2,#9C52F2,#4D52DE,,
65,3,2,#BAA600,#80FFCC,,
66,3,2,#D1BD19,#58771E,,
67,3,2,#4F8FE6,#0D2B52,,
68,3,2,#B08699,#FFFF00,,
69,3,2,#9CB29E,#000000,,
70,3,2,#B85E00,#405416,,
